Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset	mu_ini	Force	G
1	11.6866	8.048	16.233	17.884	796.36298	216000	177.0904178	0.292743308	1258.48	8
1	11.6768	8.0404	15.855	16.215	796.36298	216000	174.1165112	0.299533499	1252.12	8
1	11.6634	8.0342	15.706	15.649	796.36298	216000	174.692896	0.288207325	1237.48	7.9
1	11.6631	8.0235	15.165	15.693	796.36298	216000	173.7518048	0.282142743	1223.69	7.9
1	11.6718	8.0223	13.765	14.741	796.36298	216000	170.3269391	0.289745419	1220.3	8
1	11.6884	8.0349	13.364	14.255	796.36298	216000	171.5833936	0.289766288	1233.6	8
1	11.689	8.0532	12.474	15.051	796.36298	216000	174.6730641	0.284825432	1246.22	8
1	11.6927	8.0524	11.842	16.182	796.36298	216000	177.0109661	0.274514921	1246.13	8
1	11.6938	8.0588	12.728	16.558	796.36298	216000	176.8145121	0.279457786	1247.77	8
1	11.7041	8.0575	14.514	16.785	796.36298	216000	178.6173058	0.274424919	1247.03	7.9
1	11.6964	8.0592	15.952	16.896	796.36298	216000	174.3628041	0.298396769	1248.54	8
1	11.7024	8.0482	16.911	16.491	796.36298	216000	175.0867166	0.28801368	1237.41	7.9
1	11.6983	8.0443	16.584	15.801	796.36298	216000	176.3311782	0.276918814	1229.74	7.8
1	11.6938	8.0429	14.903	15.209	796.36298	216000	174.0500943	0.282499528	1230.14	7.9
1	11.6831	8.0485	13.688	15.38	796.36298	216000	180.6791097	0.255946741	1231.36	7.7
1	11.6835	8.0522	12.801	14.838	796.36298	216000	178.3349816	0.264946936	1235.16	7.8
1	11.6863	8.0485	12.09	15.313	796.36298	216000	180.8036125	0.249635864	1227.06	7.7
1	11.7144	8.0467	12.649	15.917	796.36298	216000	181.0103182	0.246549524	1225.01	7.7
1	11.7301	8.0541	13.115	16.216	796.36298	216000	179.858795	0.255342253	1232.31	7.8
1	11.7517	8.0542	12.903	16.548	796.36298	216000	178.3678089	0.259518925	1233.63	7.9
1	11.7485	8.0594	14.019	17.721	796.36298	216000	181.7682532	0.252804324	1236.89	7.8
1	11.7595	8.0623	14.576	17.068	796.36298	216000	181.1903586	0.256721493	1241.18	7.8
1	11.736	8.0752	15.226	16.726	796.36298	216000	181.5532066	0.266611441	1253.74	7.8
1	11.7331	8.0915	15.954	16.779	796.36298	216000	186.6536323	0.254353904	1260.17	7.6
1	11.7008	8.0952	15.871	16.469	796.36298	216000	182.5358779	0.270175639	1252.96	7.7
1	11.6836	8.0777	15.195	16.68	796.36298	216000	181.9449941	0.264857934	1241.27	7.7
1	11.6665	8.0592	15.274	17.086	796.36298	216000	180.167164	0.262601553	1222.98	7.7
1	11.6629	8.0477	14.368	16.543	796.36298	216000	178.4375512	0.258221594	1208.41	7.7
1	11.6561	8.0335	12.992	15.978	796.36298	216000	180.427049	0.237196921	1192.34	7.5
1	11.6877	8.0321	12.359	15.515	796.36298	216000	177.9720569	0.240134908	1189.77	7.6
1	11.6872	8.0328	11.346	15.535	796.36298	216000	180.8154388	0.22914169	1193.38	7.5
1	11.7121	8.0341	10.669	15.796	796.36298	216000	181.1050726	0.224012506	1191.46	7.5
1	11.7184	8.0345	11.998	16.356	796.36298	216000	181.3882419	0.226759005	1193.68	7.5
1	11.7135	8.0421	14.368	16.608	796.36298	216000	182.7581444	0.229624386	1196.48	7.4
1	11.7108	8.0381	16.058	16.433	796.36298	216000	179.4197293	0.243286374	1192.28	7.5
1	11.7138	8.0413	17.332	16.308	796.36298	216000	180.3462311	0.241618532	1190.85	7.4
1	11.688	8.0422	17.354	15.91	796.36298	216000	182.1208489	0.23813367	1193.04	7.3
1	11.6777	8.0481	16.271	15.317	796.36298	216000	180.5315306	0.244647095	1195.92	7.4
1	11.646	8.0549	14.585	15.082	796.36298	216000	181.5297951	0.242895996	1199.51	7.4
1	11.6513	8.0488	13.334	14.851	796.36298	216000	180.8479482	0.237446932	1192.27	7.4
1	11.6534	8.0469	13.559	15.381	796.36298	216000	179.1645858	0.243628625	1190.04	7.5
1	11.6614	8.0444	13.822	16.517	796.36298	216000	179.9079525	0.240106694	1187.49	7.5
1	11.7025	8.0497	13.4	16.636	796.36298	216000	182.9539936	0.227936365	1194.34	7.4
1	11.7307	8.0537	12.26	15.825	796.36298	216000	185.4446157	0.217829918	1202.19	7.3
1	11.7463	8.0678	11.518	16.304	796.36298	216000	182.5047523	0.233845331	1215.79	7.6
1	11.7598	8.0865	11.643	16.442	796.36298	216000	186.0399557	0.228274851	1227.93	7.5
1	11.7501	8.1077	12.652	16.415	796.36298	216000	182.4158389	0.251423418	1234.89	7.7
1	11.7413	8.1076	12.708	16.581	796.36298	216000	186.1351295	0.236608543	1231.72	7.5
1	11.7139	8.091	13.242	17.309	796.36298	216000	186.8501806	0.229743989	1217.9	7.4
1	11.6734	8.063	14.445	17.512	796.36298	216000	184.1580062	0.23374177	1199.59	7.4
1	11.6531	8.033	15.678	17.561	796.36298	216000	182.0716905	0.229461421	1173.67	7.3
1	11.6519	8.016	16.319	17.361	796.36298	216000	179.3634131	0.230595954	1157.55	7.3
1	11.6383	8.0077	15.725	17.064	796.36298	216000	178.4501155	0.229460506	1151.16	7.3
1	11.6398	8.0182	14.817	15.667	796.36298	216000	178.0482213	0.231122093	1156.27	7.3
1	11.6337	8.0178	13.829	15.151	796.36298	216000	181.3734813	0.216632492	1154.88	7.1
1	11.6657	8.0231	13.28	14.904	796.36298	216000	179.5659269	0.219684597	1155.78	7.2
1	11.6987	8.0342	13.265	15.571	796.36298	216000	179.5960539	0.222729225	1164.48	7.3
1	11.7167	8.0452	12.771	16.267	796.36298	216000	180.0022657	0.22517491	1173.8	7.4
1	11.7235	8.039	11.983	15.857	796.36298	216000	181.2955519	0.216002427	1170.8	7.3
1	11.7229	8.031	12.722	15.669	796.36298	216000	181.6693675	0.212367951	1164.67	7.2
1	11.6928	8.029	14.316	15.565	796.36298	216000	180.6686298	0.220126413	1162.63	7.2
1	11.6786	8.038	15.454	15.283	796.36298	216000	180.6089283	0.226999226	1167.7	7.2
1	11.6608	8.0335	16.153	14.978	796.36298	216000	179.2140494	0.231504627	1161.85	7.2
1	11.6629	8.0178	15.375	14.663	796.36298	216000	177.5845383	0.227617076	1150.19	7.2
1	11.637	8.0212	15.12	14.909	796.36298	216000	179.6548217	0.222069467	1148.75	7.1
1	11.6482	8.0239	14.987	14.75	796.36298	216000	180.9362443	0.215468018	1146.42	7
1	11.6579	8.0327	14.448	14.721	796.36298	216000	178.4045834	0.226359026	1152.82	7.2
1	11.6779	8.0262	13.963	14.902	796.36298	216000	177.9221927	0.221772858	1146.68	7.2
1	11.6753	8.0221	13.722	16.068	796.36298	216000	176.9333215	0.223742831	1142.25	7.3
1	11.6904	8.0254	13.493	17.107	796.36298	216000	180.2537782	0.213206428	1144.85	7.2
1	11.6792	8.0412	13.2	17.238	796.36298	216000	182.1703731	0.214289718	1156.24	7.2
1	11.7016	8.0552	13.227	16.844	796.36298	216000	180.5382302	0.221524001	1161.39	7.3
1	11.7131	8.0528	13.693	16.993	796.36298	216000	180.698247	0.22155161	1163.13	7.3
1	11.7098	8.0779	14.748	16.928	796.36298	216000	183.2607958	0.222403765	1172.74	7.2
1	11.6966	8.0915	15.447	16.692	796.36298	216000	184.6683854	0.221812519	1173.52	7.1
1	11.7047	8.0738	15.994	16.628	796.36298	216000	183.0306782	0.221423175	1164.46	7.1
1	11.6912	8.0639	16.154	16.928	796.36298	216000	182.4829838	0.22115165	1158.35	7.1
1	11.6974	8.0528	15.29	16.388	796.36298	216000	180.0517576	0.224025743	1155.28	7.2
1	11.707	8.0609	13.715	16.052	796.36298	216000	182.2237111	0.213476566	1155.86	7.1
1	11.7268	8.0609	11.944	15.975	796.36298	216000	183.2041534	0.20632169	1158.37	7.1
1	11.73	8.0635	10.948	15.986	796.36298	216000	184.038995	0.203033776	1161.04	7.1
1	11.7244	8.0762	11.702	16.785	796.36298	216000	181.4693828	0.216938911	1164.07	7.3
1	11.7108	8.0732	13.07	17.589	796.36298	216000	181.3284041	0.22039484	1161	7.3
1	11.7029	8.0705	14.571	18.012	796.36298	216000	184.7215999	0.212605535	1160.91	7.1
1	11.6995	8.079	15.394	17.373	796.36298	216000	183.686067	0.218344329	1161.17	7.1
1	11.6739	8.0802	16.612	16.504	796.36298	216000	181.9920682	0.227231689	1159.13	7.1
1	11.6775	8.0715	16.852	15.338	796.36298	216000	180.3055776	0.230062048	1156.88	7.1
1	11.6735	8.0784	15.687	14.787	796.36298	216000	180.2294977	0.228574529	1156.95	7.1
1	11.6667	8.0708	14.034	14.928	796.36298	216000	180.8458922	0.221768339	1154.73	7.1
1	11.6755	8.0667	13.043	15.04	796.36298	216000	181.0852512	0.216822362	1152.58	7.1
1	11.7011	8.0569	12.784	14.98	796.36298	216000	178.834343	0.21924119	1149.68	7.2
1	11.7296	8.0605	12.776	15.56	796.36298	216000	180.1756778	0.215827985	1155.39	7.2
1	11.7555	8.076	13.011	15.752	796.36298	216000	181.3202447	0.215924074	1163.65	7.2
1	11.755	8.0778	12.934	15.963	796.36298	216000	181.8402745	0.215312721	1165.44	7.2
1	11.7691	8.0834	13.462	15.783	796.36298	216000	183.5575086	0.211317525	1168.65	7.1
1	11.7711	8.0896	14.543	15.694	796.36298	216000	179.7318621	0.228118082	1171.09	7.3
1	11.7698	8.0973	14.66	15.665	796.36298	216000	181.9121163	0.223195301	1174.42	7.2
1	11.7581	8.1086	14.748	15.78	796.36298	216000	182.1688368	0.225502163	1175.47	7.2
1	11.752	8.1044	15.384	16.323	796.36298	216000	182.2274419	0.226372538	1173.68	7.2
1	11.7272	8.1113	15.784	16.448	796.36298	216000	180.5229018	0.237405774	1174.5	7.3
1	11.7275	8.1182	16.711	16.874	796.36298	216000	182.78319	0.233448132	1177.07	7.2
1	11.7513	8.133	16.907	16.739	796.36298	216000	183.6834718	0.234288033	1185.89	7.2
1	11.7698	8.1443	15.657	15.819	796.36298	216000	186.60337	0.225148904	1197	7.1
1	11.7584	8.1528	14.228	15.238	796.36298	216000	186.2241798	0.23022903	1207.6	7.2
1	11.7745	8.1549	13.292	15.063	796.36298	216000	184.4373206	0.23311142	1207.13	7.3
1	11.7763	8.1599	12.509	15.401	796.36298	216000	184.3935479	0.23672358	1215.51	7.4
