case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.674562e+02	3.941267e-01	4.722306e+04	1.674562e+02	1.674562e+02	1.674562e+02	1.674562e+02	-2.044693e-06	2.084753e-07	YES
1	VOID	1.638029e+02	4.402530e-01	4.614007e+04	1.638029e+02	1.638029e+02	1.638029e+02	1.638029e+02	8.042765e-07	9.431862e-08	YES
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	VOID	1.713332e+02	3.760384e-01	4.834633e+04	1.713332e+02	1.713332e+02	1.713332e+02	1.713332e+02	2.806222e-07	-1.151331e-06	YES
1	VOID	1.697908e+02	3.995984e-01	4.865879e+04	1.697908e+02	1.697908e+02	1.697908e+02	1.697908e+02	-2.546375e-06	-5.007828e-06	YES
1	VOID	1.637839e+02	4.943712e-01	4.688966e+04	1.637839e+02	1.637839e+02	1.637839e+02	1.637839e+02	-3.646085e-05	-6.371473e-06	YES
1	VOID	1.739899e+02	3.401663e-01	4.995692e+04	1.739899e+02	1.739899e+02	1.739899e+02	1.739899e+02	-2.991616e-05	-1.504833e-05	YES
1	VOID	1.727063e+02	3.390647e-01	4.970950e+04	1.727063e+02	1.727063e+02	1.727063e+02	1.727063e+02	-1.913755e-05	-2.443109e-05	YES
1	VOID	1.727249e+02	3.438167e-01	5.014932e+04	1.727249e+02	1.727249e+02	1.727249e+02	1.727249e+02	-1.497670e-05	-1.412400e-05	YES
1	VOID	1.760922e+02	3.240635e-01	5.036462e+04	1.760922e+02	1.760922e+02	1.760922e+02	1.760922e+02	-5.777334e-06	-1.479312e-06	YES
1	VOID	1.731035e+02	3.362108e-01	4.954174e+04	1.731035e+02	1.731035e+02	1.731035e+02	1.731035e+02	-1.404223e-05	-1.498973e-05	YES
